2023_10_25__17_11_42: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_11_42.txt' created successfully. 
2023_10_25__17_11_42: 197 Server: listening on port 22
2023_10_25__17_11_44: 212 Server: start receive data, blocking
2023_10_25__17_14_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_15_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
