2023_10_25__17_56_53: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_56_53.txt' created successfully. 
2023_10_25__17_56_53: 197 Server: listening on port 22
2023_10_25__17_56_54: 212 Server: start receive data, blocking
2023_10_25__17_59_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_00_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
